[Connect DataFile][1.1]
Date:	11.03.2026
Time:	11:54:29,321
Unit:	°C
Resolution:	0,037037
Values:	1
Time	Area 1	
00:00:29,518	509,6	
00:00:29,555	509,6	
00:00:29,592	509,6	
00:00:29,629	509,6	
00:00:29,666	509,6	
00:00:29,703	509,6	
00:00:29,740	509,6	
00:00:29,777	509,6	
00:00:29,814	509,6	
00:00:29,851	509,6	
00:00:29,888	509,6	
00:00:29,925	509,6	
00:00:29,962	509,6	
00:00:29,999	509,6	
00:00:30,037	509,6	
00:00:30,074	509,6	
00:00:30,111	509,6	
00:00:30,148	509,6	
00:00:30,185	509,6	
00:00:30,222	509,6	
00:00:30,259	509,6	
00:00:30,296	509,6	
00:00:30,333	509,6	
00:00:30,370	509,6	
00:00:30,407	509,6	
00:00:30,444	509,6	
00:00:30,481	509,6	
00:00:30,518	509,6	
00:00:30,555	509,6	
00:00:30,592	509,6	
00:00:30,629	509,6	
00:00:30,666	509,6	
00:00:30,703	509,6	
00:00:30,740	509,6	
00:00:30,777	509,6	
00:00:30,814	509,6	
00:00:30,851	509,6	
00:00:30,888	509,6	
00:00:30,925	509,6	
00:00:30,962	509,6	
00:00:30,999	509,6	
00:00:31,037	509,6	
00:00:31,074	509,6	
00:00:31,111	509,6	
00:00:31,148	509,6	
00:00:31,185	509,6	
00:00:31,222	509,6	
00:00:31,259	509,6	
00:00:31,296	509,6	
00:00:31,333	509,6	
00:00:31,370	509,6	
00:00:31,407	509,6	
00:00:31,444	509,6	
00:00:31,481	509,6	
00:00:31,518	509,6	
00:00:31,555	509,6	
00:00:31,592	509,6	
00:00:31,629	509,6	
00:00:31,666	509,6	
00:00:31,703	509,6	
00:00:31,740	509,7	
00:00:31,777	509,7	
00:00:31,814	509,7	
00:00:31,851	509,7	
00:00:31,888	509,7	
00:00:31,925	509,7	
00:00:31,962	509,7	
00:00:31,999	509,7	
00:00:32,037	509,7	
00:00:32,074	509,7	
00:00:32,111	509,7	
00:00:32,148	509,7	
00:00:32,185	509,7	
00:00:32,222	509,7	
00:00:32,259	509,7	
00:00:32,296	509,7	
00:00:32,333	509,7	
00:00:32,370	509,7	
00:00:32,407	509,7	
00:00:32,444	509,7	
00:00:32,481	509,7	
00:00:32,518	509,7	
00:00:32,555	509,7	
00:00:32,592	509,7	
00:00:32,629	509,7	
00:00:32,666	509,7	
00:00:32,703	509,7	
00:00:32,740	509,7	
00:00:32,777	509,7	
00:00:32,814	509,7	
00:00:32,851	509,7	
00:00:32,888	509,7	
00:00:32,925	509,7	
00:00:32,962	509,7	
00:00:32,999	509,7	
00:00:33,037	509,7	
00:00:33,074	509,7	
00:00:33,111	509,7	
00:00:33,148	509,7	
00:00:33,185	509,7	
00:00:33,222	509,7	
00:00:33,259	509,7	
00:00:33,296	509,7	
00:00:33,333	509,7	
00:00:33,370	509,7	
00:00:33,407	509,7	
00:00:33,444	509,7	
00:00:33,481	509,7	
00:00:33,518	509,7	
00:00:33,555	509,7	
00:00:33,592	509,7	
00:00:33,629	509,7	
00:00:33,666	509,7	
00:00:33,703	509,7	
00:00:33,740	509,7	
00:00:33,777	509,7	
00:00:33,814	509,7	
00:00:33,851	509,7	
00:00:33,888	509,7	
00:00:33,925	509,7	
00:00:33,962	509,7	
00:00:33,999	509,8	
00:00:34,037	509,8	
00:00:34,074	509,8	
00:00:34,111	509,8	
00:00:34,148	509,8	
00:00:34,185	509,8	
00:00:34,222	509,8	
00:00:34,259	509,8	
00:00:34,296	509,8	
00:00:34,333	509,8	
00:00:34,370	509,8	
00:00:34,407	509,8	
00:00:34,444	509,8	
00:00:34,481	509,8	
00:00:34,518	509,8	
00:00:34,555	509,8	
00:00:34,592	509,8	
00:00:34,629	509,8	
00:00:34,666	509,8	
00:00:34,703	509,8	
00:00:34,740	509,8	
00:00:34,777	509,8	
00:00:34,814	509,8	
00:00:34,851	509,8	
00:00:34,888	509,8	
00:00:34,925	509,8	
00:00:34,962	509,8	
00:00:34,999	509,8	
00:00:35,037	509,8	
00:00:35,074	509,8	
00:00:35,111	509,8	
00:00:35,148	509,8	
00:00:35,185	509,8	
00:00:35,222	509,8	
00:00:35,259	509,8	
00:00:35,296	509,8	
00:00:35,333	509,8	
00:00:35,370	509,8	
00:00:35,407	509,8	
00:00:35,444	509,8	
00:00:35,481	509,8	
00:00:35,518	509,8	
00:00:35,555	509,8	
00:00:35,592	509,8	
00:00:35,629	509,8	
00:00:35,666	509,8	
00:00:35,703	509,8	
00:00:35,740	509,8	
00:00:35,777	509,8	
00:00:35,814	509,8	
00:00:35,851	509,8	
00:00:35,888	509,8	
00:00:35,925	509,8	
00:00:35,962	509,8	
00:00:35,999	509,8	
00:00:36,037	509,8	
00:00:36,074	509,8	
00:00:36,111	509,8	
00:00:36,148	509,8	
00:00:36,185	509,8	
00:00:36,222	509,9	
00:00:36,259	509,9	
00:00:36,296	509,9	
00:00:36,333	509,9	
00:00:36,370	509,9	
00:00:36,407	509,9	
00:00:36,444	509,9	
00:00:36,481	509,9	
00:00:36,518	509,9	
00:00:36,555	509,9	
00:00:36,592	509,9	
00:00:36,629	509,9	
00:00:36,666	509,9	
00:00:36,703	509,9	
00:00:36,740	509,9	
00:00:36,777	509,9	
00:00:36,814	509,9	
00:00:36,851	509,9	
00:00:36,888	509,9	
00:00:36,925	509,9	
00:00:36,962	509,9	
00:00:36,999	509,9	
00:00:37,037	509,9	
00:00:37,074	509,9	
00:00:37,111	509,9	
00:00:37,148	509,9	
00:00:37,185	509,9	
00:00:37,222	509,9	
00:00:37,259	509,9	
00:00:37,296	509,9	
00:00:37,333	509,9	
00:00:37,370	509,9	
00:00:37,407	509,9	
00:00:37,444	509,9	
00:00:37,481	509,9	
00:00:37,518	509,9	
00:00:37,555	509,9	
00:00:37,592	509,9	
00:00:37,629	509,9	
00:00:37,666	509,9	
00:00:37,703	509,9	
00:00:37,740	509,9	
00:00:37,777	509,9	
00:00:37,814	509,9	
00:00:37,851	509,9	
00:00:37,888	509,9	
00:00:37,925	509,9	
00:00:37,962	509,9	
00:00:37,999	509,9	
00:00:38,036	509,9	
00:00:38,074	509,9	
00:00:38,111	509,9	
00:00:38,148	509,9	
00:00:38,185	509,9	
00:00:38,222	509,9	
00:00:38,259	509,9	
00:00:38,296	509,9	
00:00:38,333	509,9	
00:00:38,370	509,9	
00:00:38,407	510,0	
00:00:38,444	510,0	
00:00:38,481	510,0	
00:00:38,518	510,0	
00:00:38,555	510,0	
00:00:38,592	510,0	
00:00:38,629	510,0	
00:00:38,666	510,0	
00:00:38,703	510,0	
00:00:38,740	510,0	
00:00:38,777	510,0	
00:00:38,814	510,0	
00:00:38,851	510,0	
